time,avg_queue,total_queue,icp,sas,ev_count,ev_speed,gwsr,cvdi
3128.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,185.835
3129.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,186.67
3130.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,188.515
3131.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,190.785
3132.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,193.07
3133.0,10.75,129.0,0.05375,1.0,0,0.0,1.0,192.655
3134.0,10.75,129.0,0.05375,1.0,0,0.0,1.0,192.24
3135.0,10.75,129.0,0.05375,1.0,0,0.0,1.0,192.235
3136.0,10.75,129.0,0.05375,1.0,0,0.0,1.0,193.175
3137.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,192.61
3138.0,10.416666666666666,125.0,0.052083333333333336,1.0,0,0.0,1.0,190.62
3139.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,189.215
3140.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,187.8
3141.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,187.605
3142.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,188.315
3143.0,10.416666666666666,125.0,0.052083333333333336,1.0,0,0.0,1.0,189.03
3144.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,189.425
3145.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,186.435
3146.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,181.93
3147.0,9.75,117.0,0.04875,1.0,0,0.0,1.0,177.305
3148.0,9.25,111.0,0.04625,1.0,0,0.0,1.0,174.965
3149.0,9.083333333333334,109.0,0.04541666666666667,1.0,0,0.0,1.0,172.615
3150.0,9.25,111.0,0.04625,1.0,0,0.0,1.0,170.265
3151.0,9.083333333333334,109.0,0.04541666666666667,1.0,0,0.0,1.0,166.625
3152.0,8.75,105.0,0.04375,1.0,0,0.0,1.0,162.965
3153.0,8.583333333333334,103.0,0.042916666666666665,1.0,0,0.0,1.0,160.775
3154.0,8.333333333333334,100.0,0.041666666666666664,1.0,0,0.0,1.0,158.51
3155.0,8.0,96.0,0.04,1.0,0,0.0,1.0,154.785
3156.0,8.0,96.0,0.04,1.0,0,0.0,1.0,149.56
3157.0,7.833333333333333,94.0,0.03916666666666667,1.0,0,0.0,1.0,146.37
3158.0,8.166666666666666,98.0,0.04083333333333333,1.0,0,0.0,1.0,143.2
3159.0,8.5,102.0,0.0425,1.0,0,0.0,1.0,141.51
3160.0,8.75,105.0,0.04375,1.0,0,0.0,1.0,140.765
3161.0,9.0,108.0,0.045,1.0,0,0.0,1.0,138.53
3162.0,9.083333333333334,109.0,0.04541666666666667,1.0,0,0.0,1.0,136.32
3163.0,9.0,108.0,0.045,1.0,0,0.0,1.0,135.615
3164.0,9.083333333333334,109.0,0.04541666666666667,1.0,0,0.0,1.0,133.67
3165.0,9.083333333333334,109.0,0.04541666666666667,1.0,0,0.0,1.0,131.72
3166.0,9.416666666666666,113.0,0.04708333333333333,1.0,0,0.0,1.0,131.26
3167.0,9.666666666666666,116.0,0.04833333333333333,1.0,0,0.0,1.0,132.06
3168.0,9.833333333333334,118.0,0.049166666666666664,1.0,0,0.0,1.0,132.88
3169.0,10.0,120.0,0.05,1.0,0,0.0,1.0,133.71
3170.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,133.025
3171.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,132.35
3172.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,133.225
3173.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,134.12
3174.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,135.03
3175.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,135.94
3176.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,136.85
3177.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,137.76
